ORCA_ID,Onset_Time_JW,Offset_Time_JW,Participant_JW,Handle_JW,Onset_Time_YZ,Offset_Time_YZ,Participant_YZ,Handle_YZ
2083,00:04:06:14,00:04:06:32,Child B,CompleteDown_Blue,00:04:06:14,00:04:06:32,Child B,CompleteDown_Blue
2084,00:01:13:18,00:01:13:26,Child A,CompleteDown_Blue,00:01:13:20,00:01:13:26,Child A,CompleteDown_Blue
2084,00:01:08:42,00:01:09:32,Child B,CompleteDown_Green,00:01:08:42,00:01:09:30,Child B,CompleteDown_Green
2084,00:01:10:42,00:01:11:04,Child B,CompleteDown_Green,00:01:10:42,00:01:11:04,Child B,CompleteDown_Green
2084,0,0,Child B,0,00:01:12:22,00:01:12:38,Child B,CompleteDown_Green
2084,00:01:16:44,00:01:17:04,Child B,CompleteDown_Green,00:01:16:44,00:01:17:10,Child B,CompleteDown_Green
2084,00:01:22:24,00:01:22:40,Child B,CompleteDown_Green,00:01:22:26,00:01:22:38,Child B,CompleteDown_Green
2084,0,0,Child B,0,00:01:24:12,00:01:24:16,Child B,CompleteDown_Green
2084,00:01:33:18,00:01:33:32,Child B,CompleteDown_Green,0,0,Child B,0
2084,00:01:35:30,00:01:35:34,Child B,CompleteDown_Blue,00:01:35:30,00:01:35:38,Child B,CompleteDown_Blue
2084,00:01:38:04,00:01:38:20,Child B,CompleteDown_Blue,00:01:38:06,00:01:38:20,Child B,CompleteDown_Blue
2084,00:01:41:04,00:01:41:30,Child B,CompleteDown_Blue,00:01:41:04,00:01:41:28,Child B,CompleteDown_Blue
2084,00:01:45:04,00:01:45:26,Child B,CompleteDown_Blue,00:01:45:10,00:01:45:24,Child B,CompleteDown_Blue
2084,00:02:39:12,00:02:40:20,Child B,CompleteDown_Blue,00:02:39:14,00:02:40:18,Child B,CompleteDown_Blue
2084,00:02:41:08,00:02:41:22,Child B,CompleteDown_Blue,00:02:41:10,00:02:41:22,Child B,CompleteDown_Blue
2084,00:02:50:06,00:02:50:18,Child B,CompleteDown_Blue,00:02:50:06,00:02:50:18,Child B,CompleteDown_Blue
2084,00:02:53:10,00:02:53:26,Child B,CompleteDown_Blue,00:02:53:10,00:02:53:24,Child B,CompleteDown_Blue
2084,00:03:00:44,00:03:01:18,Child B,CompleteDown_Blue,00:03:00:48,00:03:01:16,Child B,CompleteDown_Blue
2084,00:03:06:10,00:03:06:24,Child B,CompleteDown_Blue,00:03:06:14,00:03:06:24,Child B,CompleteDown_Blue
2131,00:10:36:31,00:10:36:38,Child A,CompleteDown_Green,0,0,Child A,0
2131,00:10:39:45,00:10:40:00,Child A,CompleteDown_Green,0,0,Child A,0
2131,00:11:15:08,00:11:15:11,Child A,CompleteDown_Green,0,0,Child A,0
2131,00:10:53:46,00:10:54:13,Child B,CompleteDown_Green,00:10:53:46,00:10:54:21,Child B,CompleteDown_Green
2131,00:10:59:23,00:10:59:45,Child B,CompleteDown_Green,00:10:59:20,00:11:00:01,Child B,CompleteDown_Green
2131,0,0,Child B,0,00:12:06:40,00:12:07:43,Child B,CompleteDown_Blue
2133,00:10:33:01,00:10:33:25,Child A,CompleteDown_Green,0,0,Child A,0
2133,00:10:43:03,00:10:43:13,Child A,CompleteDown_Green,00:10:44:48,00:10:45:21,Child A,CompleteDown_Green
2133,00:10:45:01,00:10:45:13,Child A,CompleteDown_Green,0,0,Child A,0
2133,00:12:09:28,00:12:10:03,Child A,CompleteDown_Blue,00:12:09:30,00:12:10:03,Child A,CompleteDown_Blue
2133,00:12:14:23,00:12:15:00,Child A,CompleteDown_Blue,00:12:14:23,00:12:14:45,Child A,CompleteDown_Blue
2133,00:12:17:25,00:12:18:06,Child A,CompleteDown_Green,00:12:17:25,00:12:18:06,Child A,CompleteDown_Green
2133,00:12:25:40,00:12:26:03,Child A,CompleteDown_Green,00:12:25:45,00:12:26:03,Child A,CompleteDown_Green
2133,0,0,Child A,0,00:12:32:28,00:12:33:33,Child A,CompleteDown_Green
2133,00:12:37:36,00:12:37:41,Child A,CompleteDown_Blue,0,0,Child A,0
2133,00:12:38:31,00:12:39:11,Child A,CompleteDown_Blue,00:12:38:26,00:12:39:11,Child A,CompleteDown_Blue
2133,00:12:44:33,00:12:45:18,Child A,CompleteDown_Blue,00:12:44:33,00:12:45:18,Child A,CompleteDown_Blue
2133,0,0,Child A,0,00:13:02:18,00:13:02:23,Child A,CompleteDown_Green
2133,00:13:08:18,00:13:10:15,Child A,CompleteDown_Blue,00:13:08:18,00:13:09:38,Child A,CompleteDown_Blue
2133,00:10:35:43,00:10:36:23,Child B,CompleteDown_Blue,00:10:35:45,00:10:36:16,Child B,CompleteDown_Blue
2133,00:10:59:46,00:11:00:16,Child B,CompleteDown_Green,00:10:59:46,00:11:00:10,Child B,CompleteDown_Green
2133,00:11:39:13,00:11:39:21,Child B,CompleteDown_Green,0,0,Child B,0
2133,00:13:00:48,00:13:01:23,Child B,CompleteDown_Green,00:13:00:40,00:13:01:20,Child B,CompleteDown_Green
2133,00:13:10:23,00:13:11:01,Child B,CompleteDown_Green,00:13:10:23,00:13:11:06,Child B,CompleteDown_Green
2134,00:09:28:46,00:09:29:00,Child A,CompleteDown_Blue,0,0,Child B,0
2134,00:09:29:21,00:09:30:23,Child A,CompleteDown_Blue,00:09:29:23,00:09:29:26,Child A,CompleteDown_Blue
2134,0,0,Child A,0,00:09:30:20,00:09:30:25,Child A,CompleteDown_Blue
2134,00:09:37:31,00:09:39:00,Child A,CompleteDown_Green,00:09:37:31,00:09:38:43,Child A,CompleteDown_Green
2134,00:09:48:21,00:09:49:30,Child A,CompleteDown_Blue,00:09:48:35,00:09:49:23,Child A,CompleteDown_Blue
2134,00:09:52:00,00:09:53:10,Child A,CompleteDown_Blue,00:09:52:13,00:09:53:10,Child A,CompleteDown_Blue
2134,00:09:58:28,00:09:58:41,Child A,CompleteDown_Green,00:09:58:28,00:09:58:41,Child A,CompleteDown_Green
